sep=;
Year;Month;Day;Hour;Temperature
2022;07;17;21;19,9
2022;07;18;06;12,8
2022;07;18;21;18,1
2022;07;19;06;12
2022;07;19;21;22
2022;07;20;06;13,5
2022;07;20;21;22,8
2022;07;21;06;18,1
2022;07;21;21;28,6
2022;07;22;06;15,6
2022;07;22;21;29,7
2022;07;23;06;19,7
2022;07;23;21;29,4
2022;07;24;06;18,3
2022;07;24;21;22,9
2022;07;25;06;17,6
2022;07;25;21;23,7
2022;07;26;06;15,2
2022;07;26;21;27,2
2022;07;27;06;20
2022;07;27;21;21,5
2022;07;28;06;15,1
2022;07;28;21;21,8
2022;07;29;06;15,2
2022;07;29;21;19,9
2022;07;30;06;16
2022;07;30;21;20
2022;07;31;06;14,5
2022;07;31;21;21,2
2022;08;01;06;13,7
2022;08;01;21;21,7
2022;08;02;06;14,7
2022;08;02;21;20,6
2022;08;03;06;14,4
2022;08;03;21;24,6
2022;08;04;06;16,1
2022;08;04;21;27,7
2022;08;05;06;17,1
2022;08;05;21;29
2022;08;06;06;21,8
2022;08;06;21;30,1
2022;08;07;06;14,4
2022;08;07;21;20
2022;08;08;06;14,2
2022;08;08;21;20,3
2022;08;09;06;12
2022;08;09;21;21,7
2022;08;10;06;12,6
2022;08;10;21;22,8
2022;08;11;06;14,4
2022;08;11;21;25,2
2022;08;12;06;17,8
2022;08;12;21;24,6
2022;08;13;06;17,5
2022;08;13;21;24
2022;08;14;06;13
2022;08;14;21;26,4
2022;08;15;06;16,4
2022;08;15;21;29,4
2022;08;16;06;18,2
2022;08;16;21;30,2
2022;08;17;06;21,6
2022;08;17;21;30,1
2022;08;18;06;19,7
2022;08;18;21;30,6
2022;08;19;06;20,9
2022;08;19;21;30,4
2022;08;20;06;19,4
2022;08;20;21;28,8
2022;08;21;06;17,2
2022;08;21;21;23,6
2022;08;22;06;18,6
2022;08;22;21;25,8
2022;08;23;06;17,1
2022;08;23;21;28,5
2022;08;24;06;18,2
2022;08;24;21;31,1
2022;08;25;06;19,3
2022;08;25;21;22,7
2022;08;26;06;16
2022;08;26;21;19,4
2022;08;27;06;14,2
2022;08;27;21;27,1
2022;08;28;06;16
2022;08;28;21;30,7
2022;08;29;06;18,8


2022;08;29;21;24,4
2022;08;30;06;15,5
2022;08;30;21;15,8
2022;08;31;06;10,7
2022;08;31;21;10,4
2022;09;01;06;7,1
2022;09;01;21;9,7
2022;09;02;06;7,7
2022;09;02;21;12,7
2022;09;03;06;5,2
2022;09;03;21;13
2022;09;04;06;6,9
2022;09;04;21;12,8
2022;09;05;06;7,1
2022;09;05;21;12,9
2022;09;06;06;5,4
2022;09;06;21;13,3
2022;09;07;06;9,2
2022;09;07;21;12,3
2022;09;08;06;4,3
2022;09;08;21;13,5
2022;09;09;06;6,6
2022;09;09;21;14
2022;09;10;06;4,6
2022;09;10;21;17,5
2022;09;11;06;5,9
2022;09;11;21;18
2022;09;12;06;7
2022;09;12;21;17,2
2022;09;13;06;11,6
2022;09;13;21;16,9
2022;09;14;06;11,3
2022;09;14;21;13,9
2022;09;15;06;11
2022;09;15;21;14,1
2022;09;16;06;12
2022;09;16;21;14,3
2022;09;17;06;9,3
2022;09;17;21;14,5
2022;09;18;06;10,4
2022;09;18;21;15,9
2022;09;19;06;8,8
2022;09;19;21;12,6
2022;09;20;06;10,2
2022;09;20;21;15,3
2022;09;21;06;7,6
2022;09;21;21;14
2022;09;22;06;8
2022;09;22;21;12,6
2022;09;23;06;7,9
2022;09;23;21;12,7
2022;09;24;06;6,4
2022;09;24;21;13,1
2022;09;25;06;6,1
2022;09;25;21;9
2022;09;26;06;8,7
2022;09;26;21;12,6
2022;09;27;06;9
2022;09;27;21;14
2022;09;28;06;5,6
2022;09;28;21;10,7
2022;09;29;06;6,7
2022;09;29;21;9,7
2022;09;30;06;8,4
2022;09;30;21;11,1
2022;10;01;06;7,1
2022;10;01;21;13,4
2022;10;02;06;5
2022;10;02;21;11,4
2022;10;03;06;5,9
2022;10;03;21;8,3
2022;10;04;06;6,5
2022;10;04;21;11,9
2022;10;05;06;5,5
2022;10;05;21;10,2
2022;10;06;06;9,1
2022;10;06;21;13,9
2022;10;07;06;11,6
2022;10;07;21;14
2022;10;08;06;10,9
2022;10;08;21;14,5
2022;10;09;06;9,6
2022;10;09;21;12,1
2022;10;10;06;6,6
2022;10;10;21;13,4
2022;10;11;06;7,4
2022;10;11;21;12,6
2022;10;12;06;8,3
2022;10;12;21;11,4
2022;10;13;06;4,7
2022;10;13;21;11,8
2022;10;14;06;6,7
2022;10;14;21;11,1
2022;10;15;06;8,4
2022;10;15;21;13,8
2022;10;16;06;10
2022;10;16;21;10,9
2022;10;17;06;10
2022;10;17;21;10,6
2022;10;18;06;8,9
2022;10;18;21;9
2022;10;19;06;5,8
2022;10;19;21;6,4
2022;10;20;06;3
2022;10;20;21;6,7
2022;10;21;06;4,6
2022;10;21;21;7,7
2022;10;22;06;6,2
2022;10;22;21;8,8
2022;10;23;06;4,8
2022;10;23;21;7,7
2022;10;24;06;1,3
2022;10;24;21;6,1
2022;10;25;06;0
2022;10;25;21;5,9
2022;10;26;06;2,7
2022;10;26;21;10,2
2022;10;27;06;9
2022;10;27;21;9,1
2022;10;28;06;7,7
2022;10;28;21;11
2022;10;29;06;9,7
2022;10;29;21;12,6
2022;10;30;06;6,1
2022;10;30;21;5,4
2022;10;31;06;0,8
2022;10;31;21;4,6
2022;11;01;06;0,9
